,client,status,CAMICIA,SCARPA ALTA INVERNALE M,PILE ARANCIO,SCARPA ALTA  HARD,SCARPA ALTA ASFALTISTA,PANTALONE LAVORO L,GIUBBETTO,SCARPA ALTA INVERNALE S,STIVALE,SCARPA ALTA STONE S,PILE S,PANTALONE LAVORO M,ELMETTO,PANTALONE JEANS M,SCARPA ALTA STONE M,PILE L,PILE ALTA VISIBILITA',SCARPA BASSA,MAGLIETTA,SCARPA ALTA INVERNALE XL,SCARPA ALTA INVERNALE L,FELPA,SCARPA ALTA STONE L,PANTALONE LAVORO S,PANTALONE ARANCIO,PANTALONE,PANTALONE JEANS S,SCARPA ASFALTISTA,TUTA,SCARPA BASSA STRONG,SCARPA ALTA SCOTLAND,PANTALONE JEANS L
79,CO,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,MI,0,12,1,0,0,0,0,0,0,4,0,2,0,0,0,2,1,3,2,0,5,1,0,0,0,0,0,0,0,2,0,1,0
81,FI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,2
82,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0
83,CO,0,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,6,2,3,1,0,0,0,0,0,0,0,0,7,0,0
84,CO,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
85,CO,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
86,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
88,MI,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
89,FI,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
90,CO,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
91,FI,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0
92,CO,0,0,1,0,0,0,1,0,1,0,0,3,3,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
93,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0
95,CO,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
96,CO,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0
97,CO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,CO,0,1,2,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,1,0
